"Id","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","Target"
1,2,"1","5",NA,303,0,1,"1","5",5,0,"5","2",10708,0,0,476,1,"14",1867,5,"3","2","7",142,"3","3","2","2","2",3,1955,"4","2",0,0,"1","1",1617,NA,"4",NA,"4","2","5","3",379,20,"3",143642.627193753,"3","4","4",470,NA,"15","1",1,1993,"1",49,1867,7,"4","3",0,"4",768,1,"5",114661264,0,"1",11,2009,"5","2",0,"3",0,1955,"1","4",190000
2,3,"5","5",NA,180,0,1,"1","7",7,0,"2","2",11500,1037,1,0,1,"4",2057,7,"3","2","7",322,"3","3",NA,"2","6",1,1936,"4","2",0,0,"1","1",1017,NA,"3",86,"4","2","5","3",223,50,"3",49728.8867951984,"1","2","4",794,NA,"4","3",1,1987,"1",36,1020,6,"5","2",0,"3",0,0,"5",132250000,0,"9",6,2006,"5","2",0,"3",0,1936,"1","4",250000
3,4,"5","5",NA,621,0,1,"1","13",8,207,"5","2",15865,0,0,81,2,"14",2217,6,"3","2","7",224,"5","3",NA,"3","5",1,1970,"4","2",0,0,"1","3",2217,NA,"4",95,"4","6","5","3",351,20,"3",123200.256621729,"3","1","2",1043,NA,"15","1",2,1970,"1",64,2217,8,"1","3",0,"3",823,1,"3",251698225,0,"9",10,2007,"5","2",0,"3",0,1970,"2","2",268000
4,3,"5","5",NA,518,0,1,"1","25",7,47,"5","2",17542,651,1,220,2,"14",2167,7,"3","2","7",0,"3","3","3","2","1",2,1974,"4","2",0,0,"1","2",1192,NA,"4",NA,"4","2","5","3",125,60,"3",15625.3715405009,"6","2","2",36,NA,"15","5",2,2003,"1",81,1516,9,"4","3",0,"3",1031,1,"5",307721764,0,"9",7,2007,"5","2",0,"3",0,1974,"1","4",294000
5,3,"5","5",NA,840,0,1,"1","6",7,33,"5","2",10652,0,0,160,2,"13",1494,5,"3","2","7",0,"3","4",NA,"3","6",1,2006,"4","2",0,0,"1","2",1494,NA,"3",91,"4","2","5","3",0,20,"3",-0.65943683821266,"3","2","1",1494,NA,"14","1",3,2007,"1",49,1494,7,"6","1",0,"3",0,0,"5",113465104,306,"7",8,2007,"6","2",0,"3",0,2006,"1","4",279500
6,3,"5","5",NA,532,0,1,"1","6",7,74,"5","2",9135,0,0,192,2,"13",1536,5,"3","2","7",0,NA,"2",NA,"3","6",0,2002,"4","2",0,0,"1","2",1536,NA,"3",70,"4","2","5","3",810,20,"3",656097.180117526,"3","2","1",726,NA,"14","1",2,2003,"4",49,1536,7,"3","2",0,"3",0,1,"5",83448225,113,"9",12,2008,"5","2",0,"3",0,2002,"1","4",214000
7,3,"5","5",NA,260,0,1,"1","13",5,0,"5","2",7390,0,0,0,1,"14",1098,7,"3","2","7",0,NA,"2",NA,"2","6",0,1955,"4","2",0,0,"1","3",1098,NA,"4",NA,"4","2","5","3",902,20,"4",813603.822921196,"3","4","4",196,NA,"15","5",1,1955,"1",36,1098,6,"1","2",0,"4",0,1,"5",54612100,151,"9",7,2008,"5","2",0,"3",0,1955,"1","4",135000
8,4,"5","5",NA,554,0,1,"1","9",7,54,"5","4",8795,1276,1,224,2,"13",2256,5,"3","2","7",0,"5","3",NA,"3","6",1,2000,"4","2",0,0,"1","1",952,NA,"3",NA,"4","2","5","3",300,60,"3",89998.5150588261,"6","2","4",652,NA,"14","1",2,2000,"1",64,980,8,"3","3",0,"3",0,0,"5",77352025,0,"9",4,2009,"5","2",0,"3",0,2000,"1","4",236000
9,3,"5","5",NA,328,0,1,"1","6",5,0,"5","2",8385,0,0,210,2,"7",985,8,"3","2","7",0,NA,"2",NA,"2","6",0,1977,"4","2",0,0,"1","3",985,NA,"3",65,"4","2","5","3",595,80,"3",354025.743664308,"8","2","1",390,NA,"7","5",1,1977,"4",36,985,6,"3","1",0,"4",0,0,"5",70308225,220,"9",11,2008,"5","2",0,"3",0,1977,"1","2",149900
10,5,"5","5",NA,444,0,1,"1","5",6,168,"5","2",12205,1111,1,133,2,"7",2087,8,"3","2","7",0,NA,"2",NA,"2","6",0,1966,"3","2",0,0,"1","1",832,NA,"4",NA,"4","2","5","3",568,60,"4",322624.078253632,"6","2","2",264,NA,"7","3",2,2007,"1",81,976,9,"4","1",0,"3",0,0,"5",148962025,157,"9",7,2007,"5","2",0,"3",0,1966,"1","1",187500
